>AT1G51370 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr1:19045615-19046748 FORWARD LENGTH=346
>AT1G12570 | Symbols:  | Glucose-methanol-choline (GMC) oxidoreductase family protein | chr1:4278192-4280753 REVERSE LENGTH=572

>AT1G36970 | Symbols:  | Domain of unknown function (DUF1985) | chr1:14016385-14018356 REVERSE LENGTH=439

>AT1G15980 | Symbols: NDF1, NDH48 | NDH-dependent cyclic electron flow 1 | chr1:5489314-5491199 FORWARD LENGTH=461

>AT1G77490 | Symbols: TAPX | thylakoidal ascorbate peroxidase | chr1:29117688-29120046 FORWARD LENGTH=426

>AT1G10960 | Symbols: ATFD1, FD1 | ferredoxin 1 | chr1:3664445-3664891 FORWARD LENGTH=148

>AT1G67130 | Symbols:  | F-box family protein | chr1:25099262-25100625 REVERSE LENGTH=391

>AT1G55900 | Symbols: TIM50, emb1860 | Haloacid dehalogenase-like hydrolase (HAD) superfamily protein | chr1:20903163-20905420 FORWARD LENGTH=376

>AT1G15990 | Symbols: ATCNGC7, CNGC7 | cyclic nucleotide gated channel 7 | chr1:5491304-5493772 REVERSE LENGTH=709

>AT1G75160 | Symbols:  | Protein of unknown function (DUF620) | chr1:28209534-28211624 FORWARD LENGTH=395

>AT1G49640 | Symbols:  | alpha/beta-Hydrolases superfamily protein | chr1:18375697-18376644 REVERSE LENGTH=315

>AT1G36990 | Symbols:  | unknown protein; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G08510.1); Has 5029 Blast hits to 1779 proteins in 339 species: Archae - 2; Bacteria - 1372; Metazoa - 990; Fungi - 933; Plants - 111; Viruses - 28; Other Eukaryotes - 1593 (source: NCBI BLink). | chr1:14027594-14029711 REVERSE LENGTH=581

>AT1G12600 | Symbols:  | UDP-N-acetylglucosamine (UAA) transporter family | chr1:4286414-4288859 REVERSE LENGTH=349

>AT1G09730 | Symbols:  | Cysteine proteinases superfamily protein | chr1:3148017-3154236 REVERSE LENGTH=963

>AT1G77340 | Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr1:29068620-29069828 REVERSE LENGTH=402

>AT1G70830 | Symbols: MLP28 | MLP-like protein 28 | chr1:26710459-26711395 REVERSE LENGTH=249

>AT1G12650 | Symbols:  | unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF947 (InterPro:IPR009292); Has 700 Blast hits to 631 proteins in 192 species: Archae - 0; Bacteria - 32; Metazoa - 138; Fungi - 168; Plants - 60; Viruses - 0; Other Eukaryotes - 302 (source: NCBI BLink). | chr1:4306183-4307673 FORWARD LENGTH=248

>AT1G70840 | Symbols: MLP31 | MLP-like protein 31 | chr1:26713170-26714014 REVERSE LENGTH=171

>AT1G49700 | Symbols:  | Plant protein 1589 of unknown function | chr1:18388792-18390496 REVERSE LENGTH=279

>AT1G36980 | Symbols:  | unknown protein; CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0220 (InterPro:IPR007919); Has 424 Blast hits to 424 proteins in 159 species: Archae - 0; Bacteria - 0; Metazoa - 228; Fungi - 120; Plants - 62; Viruses - 0; Other Eukaryotes - 14 (source: NCBI BLink). | chr1:14025084-14026727 FORWARD LENGTH=135

>AT1G67140 | Symbols: SWEETIE | HEAT repeat-containing protein | chr1:25101016-25117372 REVERSE LENGTH=2221

>AT1G65550 | Symbols:  | Xanthine/uracil permease family protein | chr1:24367694-24370800 REVERSE LENGTH=541

>AT1G21090 | Symbols:  | Cupredoxin superfamily protein | chr1:7384854-7386199 FORWARD LENGTH=242

>AT1G28520 | Symbols: VOZ1, ATVOZ1 | vascular plant one zinc finger protein | chr1:10029713-10031479 FORWARD LENGTH=486

>AT1G79600 | Symbols:  | Protein kinase superfamily protein | chr1:29950105-29952516 REVERSE LENGTH=711

>AT1G65950 | Symbols:  | Protein kinase superfamily protein | chr1:24546860-24551119 REVERSE LENGTH=551

>AT1G70850 | Symbols: MLP34 | MLP-like protein 34 | chr1:26715429-26716744 REVERSE LENGTH=316

>AT1G09720 | Symbols:  | Kinase interacting (KIP1-like) family protein | chr1:3144438-3147303 REVERSE LENGTH=928

>AT1G44085 | Symbols:  | glycine-rich protein | chr1:16758110-16758508 REVERSE LENGTH=90

>AT1G77350 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function KRTCAP2 (InterPro:IPR018614); Has 141 Blast hits to 141 proteins in 57 species: Archae - 0; Bacteria - 0; Metazoa - 96; Fungi - 0; Plants - 33; Viruses - 0; Other Eukaryotes - 12 (source: NCBI BLink). | chr1:29070497-29071545 FORWARD LENGTH=122

>AT1G80420 | Symbols: ATXRCC1 | BRCT domain-containing DNA repair protein | chr1:30235444-30237163 REVERSE LENGTH=353

>AT1G65930 | Symbols: cICDH | cytosolic NADP+-dependent isocitrate dehydrogenase | chr1:24539088-24541861 FORWARD LENGTH=410

>AT1G74930 | Symbols: ORA47 | Integrase-type DNA-binding superfamily protein | chr1:28144239-28144826 FORWARD LENGTH=195

>AT1G77410 | Symbols: BGAL16 | beta-galactosidase 16 | chr1:29088771-29093148 REVERSE LENGTH=815

>AT1G74840 | Symbols:  | Homeodomain-like superfamily protein | chr1:28116201-28117317 REVERSE LENGTH=265

>AT1G51140 | Symbols:  | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr1:18943802-18945613 REVERSE LENGTH=379

>AT1G43850 | Symbols: SEU | SEUSS transcriptional co-regulator | chr1:16617872-16621596 FORWARD LENGTH=877

>AT1G09550 | Symbols:  | Pectinacetylesterase family protein | chr1:3089733-3092254 REVERSE LENGTH=388

>AT1G51150 | Symbols: DegP6 | DegP protease 6 | chr1:18948370-18949290 REVERSE LENGTH=219

>AT1G09640 | Symbols:  | Translation elongation factor EF1B, gamma chain | chr1:3120162-3122152 FORWARD LENGTH=414

>AT1G10920 | Symbols: LOV1 | NB-ARC domain-containing disease resistance protein | chr1:3644587-3647004 REVERSE LENGTH=727

>AT1G09540 | Symbols: MYB61, ATMYB61 | myb domain protein 61 | chr1:3086333-3087689 FORWARD LENGTH=366

>AT1G71015 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G01340.1); Has 85 Blast hits to 85 proteins in 12 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 85; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:26789389-26790061 REVERSE LENGTH=195

>AT1G09630 | Symbols: ATRAB11C, ATRABA2A, ATRAB-A2A, RAB-A2A, RAB11c | RAB GTPase 11C | chr1:3118350-3119571 REVERSE LENGTH=217

>AT1G77400 | Symbols:  | CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF688 (InterPro:IPR007789); BEST Arabidopsis thaliana protein match is: hydroxyproline-rich glycoprotein family protein (TAIR:AT1G21695.1); Has 328 Blast hits to 314 proteins in 61 species: Archae - 0; Bacteria - 12; Metazoa - 130; Fungi - 28; Plants - 92; Viruses - 10; Other Eukaryotes - 56 (source: NCBI BLink). | chr1:29085881-29086579 FORWARD LENGTH=232

>AT1G74860 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G19010.1); Has 210 Blast hits to 193 proteins in 61 species: Archae - 0; Bacteria - 9; Metazoa - 75; Fungi - 18; Plants - 58; Viruses - 1; Other Eukaryotes - 49 (source: NCBI BLink). | chr1:28123432-28125600 FORWARD LENGTH=400

>AT1G73840 | Symbols: ESP1 | hydroxyproline-rich glycoprotein family protein | chr1:27763937-27766328 REVERSE LENGTH=388

>AT1G36925 | Symbols:  | unknown protein; Has 69 Blast hits to 69 proteins in 22 species: Archae - 0; Bacteria - 2; Metazoa - 45; Fungi - 4; Plants - 8; Viruses - 0; Other Eukaryotes - 10 (source: NCBI BLink). | chr1:13986436-13987289 FORWARD LENGTH=174

>AT1G74920 | Symbols: ALDH10A8 | aldehyde dehydrogenase 10A8 | chr1:28139175-28142573 REVERSE LENGTH=501

>AT1G09580 | Symbols:  | emp24/gp25L/p24 family/GOLD family protein | chr1:3104657-3106092 FORWARD LENGTH=217

>AT1G79190 | Symbols:  | ARM repeat superfamily protein | chr1:29788639-29794116 FORWARD LENGTH=1335

>AT1G09575 | Symbols:  | Protein of unknown function (DUF607) | chr1:3101851-3102832 REVERSE LENGTH=292

>AT1G77405 | Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr1:29087145-29088521 FORWARD LENGTH=458

>AT1G09570 | Symbols: PHYA, FHY2, FRE1, HY8 | phytochrome A | chr1:3095498-3099216 REVERSE LENGTH=1122

>AT1G09560 | Symbols: GLP5 | germin-like protein 5 | chr1:3093896-3094639 FORWARD LENGTH=219

>AT1G74850 | Symbols: PTAC2 | plastid transcriptionally active 2 | chr1:28119237-28122314 REVERSE LENGTH=862

>AT1G73580 | Symbols:  | Calcium-dependent lipid-binding (CaLB domain) family protein | chr1:27654841-27655518 FORWARD LENGTH=168

>AT1G09590 | Symbols:  | Translation protein SH3-like family protein | chr1:3106549-3107606 FORWARD LENGTH=164

>AT1G74940 | Symbols:  | Protein of unknown function (DUF581) | chr1:28146284-28147065 FORWARD LENGTH=222

>AT1G51010 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G51020.1); Has 334 Blast hits to 303 proteins in 107 species: Archae - 20; Bacteria - 126; Metazoa - 41; Fungi - 13; Plants - 30; Viruses - 2; Other Eukaryotes - 102 (source: NCBI BLink). | chr1:18911597-18911845 FORWARD LENGTH=82

>AT1G65730 | Symbols: YSL7 | YELLOW STRIPE like 7 | chr1:24442639-24446122 FORWARD LENGTH=688

>AT1G09645 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G57765.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). | chr1:3123155-3124347 FORWARD LENGTH=106

>AT1G51172 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF601 (InterPro:IPR006736); BEST Arabidopsis thaliana protein match is: Protein of unknown function, DUF601 (TAIR:AT1G46696.1); Has 1849 Blast hits to 1554 proteins in 272 species: Archae - 15; Bacteria - 116; Metazoa - 677; Fungi - 267; Plants - 154; Viruses - 11; Other Eukaryotes - 609 (source: NCBI BLink). | chr1:18963205-18965571 FORWARD LENGTH=681

>AT1G70985 | Symbols:  | hydroxyproline-rich glycoprotein family protein | chr1:26764774-26765181 REVERSE LENGTH=135

>AT1G42440 | Symbols:  | FUNCTIONS IN: molecular_function unknown; INVOLVED IN: ribosome biogenesis; LOCATED IN: nucleus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: AARP2CN (InterPro:IPR012948), Protein of unknown function DUF663 (InterPro:IPR007034); BEST Arabidopsis thaliana protein match is: P-loop containing nucleoside triphosphate hydrolases superfamily protein (TAIR:AT1G06720.1); Has 2741 Blast hits to 2088 proteins in 291 species: Archae - 2; Bacteria - 131; Metazoa - 833; Fungi - 650; Plants - 171; Viruses - 49; Other Eukaryotes - 905 (source: NCBI BLink). | chr1:15895528-15899939 REVERSE LENGTH=793

>AT1G51190 | Symbols: PLT2 | Integrase-type DNA-binding superfamily protein | chr1:18977517-18980305 FORWARD LENGTH=568

>AT1G70970 | Symbols:  | F-box and associated interaction domains-containing protein | chr1:26759834-26761042 FORWARD LENGTH=402

>AT1G80470 | Symbols:  | F-box/RNI-like/FBD-like domains-containing protein | chr1:30256185-30257916 FORWARD LENGTH=481

>AT1G51030 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G51020.1); Has 39 Blast hits to 36 proteins in 13 species: Archae - 5; Bacteria - 2; Metazoa - 1; Fungi - 2; Plants - 21; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink). | chr1:18915179-18915421 FORWARD LENGTH=80

>AT1G65710 | Symbols:  | unknown protein; INVOLVED IN: N-terminal protein myristoylation; EXPRESSED IN: cultured cell; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G37010.1); Has 2241 Blast hits to 1776 proteins in 164 species: Archae - 0; Bacteria - 29; Metazoa - 1759; Fungi - 94; Plants - 93; Viruses - 17; Other Eukaryotes - 249 (source: NCBI BLink). | chr1:24437057-24438424 REVERSE LENGTH=455

>AT1G09650 | Symbols:  | F-box and associated interaction domains-containing protein | chr1:3125978-3127126 FORWARD LENGTH=382

>AT1G65720 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; Has 44 Blast hits to 44 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 44; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:24440471-24441013 REVERSE LENGTH=180

>AT1G70980 | Symbols: SYNC3 | Class II aminoacyl-tRNA and biotin synthetases superfamily protein | chr1:26762339-26764394 FORWARD LENGTH=571

>AT1G43860 | Symbols:  | sequence-specific DNA binding transcription factors | chr1:16622244-16624385 REVERSE LENGTH=370

>AT1G71010 | Symbols: FAB1C | FORMS APLOID AND BINUCLEATE CELLS 1C | chr1:26782839-26788712 FORWARD LENGTH=1648

>AT1G51040 | Symbols:  | Protein kinase superfamily protein | chr1:18920658-18923314 FORWARD LENGTH=525

>AT1G51160 | Symbols:  | SNARE-like superfamily protein | chr1:18950057-18951560 FORWARD LENGTH=169

>AT1G20990 | Symbols:  | Cysteine/Histidine-rich C1 domain family protein | chr1:7330524-7331946 REVERSE LENGTH=319

>AT1G71000 | Symbols:  | Chaperone DnaJ-domain superfamily protein | chr1:26769336-26770111 REVERSE LENGTH=165

>AT1G73830 | Symbols: BEE3 | BR enhanced expression 3 | chr1:27760027-27761346 FORWARD LENGTH=261

>AT1G51170 | Symbols:  | Protein kinase superfamily protein | chr1:18953625-18954839 REVERSE LENGTH=404

>AT1G70990 | Symbols:  | proline-rich family protein | chr1:26767520-26768050 REVERSE LENGTH=176

>AT1G65740 | Symbols:  | Protein of unknown function (DUF295) | chr1:24452096-24453211 REVERSE LENGTH=371

>AT1G10870 | Symbols: AGD4 | ARF-GAP domain 4 | chr1:3616905-3623612 REVERSE LENGTH=775

>AT1G21000 | Symbols:  | PLATZ transcription factor family protein | chr1:7337919-7339088 FORWARD LENGTH=246

>AT1G79580 | Symbols: SMB, ANAC033 | NAC (No Apical Meristem) domain transcriptional regulator superfamily protein | chr1:29941020-29942925 REVERSE LENGTH=371

>AT1G65820 | Symbols:  | microsomal glutathione s-transferase, putative | chr1:24485213-24486682 FORWARD LENGTH=146

>AT1G51130 | Symbols:  | Nse4, component of Smc5/6 DNA repair complex | chr1:18939480-18941560 REVERSE LENGTH=403

>AT1G31800 | Symbols: CYP97A3, LUT5 | cytochrome P450, family 97, subfamily A, polypeptide 3 | chr1:11396440-11399470 FORWARD LENGTH=595

>AT1G51070 | Symbols: bHLH115 | basic helix-loop-helix (bHLH) DNA-binding superfamily protein | chr1:18928018-18929513 FORWARD LENGTH=226

>AT1G10900 | Symbols:  | Phosphatidylinositol-4-phosphate 5-kinase family protein | chr1:3632396-3636416 REVERSE LENGTH=754

>AT1G74900 | Symbols: OTP43 | Pentatricopeptide repeat (PPR) superfamily protein | chr1:28133933-28135381 FORWARD LENGTH=453

>AT1G21050 | Symbols:  | Protein of unknown function, DUF617 | chr1:7366859-7367596 FORWARD LENGTH=245

>AT1G74890 | Symbols: ARR15 | response regulator 15 | chr1:28131590-28132710 REVERSE LENGTH=206

>AT1G65850 | Symbols:  | Disease resistance protein (TIR-NBS-LRR class) family | chr1:24494734-24498485 FORWARD LENGTH=1036

>AT1G74910 | Symbols:  | ADP-glucose pyrophosphorylase family protein | chr1:28135770-28138456 REVERSE LENGTH=415

>AT1G10910 | Symbols:  | Pentatricopeptide repeat (PPR) superfamily protein | chr1:3639908-3643974 FORWARD LENGTH=664

>AT1G31770 | Symbols: ABCG14 | ATP-binding cassette 14 | chr1:11375252-11377644 REVERSE LENGTH=648

>AT1G77380 | Symbols: AAP3, ATAAP3 | amino acid permease 3 | chr1:29075201-29077252 REVERSE LENGTH=476

>AT1G51120 | Symbols:  | AP2/B3 transcription factor family protein | chr1:18938091-18939149 FORWARD LENGTH=352

>AT1G51080 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 11 growth stages; Has 101 Blast hits to 98 proteins in 44 species: Archae - 0; Bacteria - 0; Metazoa - 38; Fungi - 10; Plants - 27; Viruses - 0; Other Eukaryotes - 26 (source: NCBI BLink). | chr1:18929883-18930740 REVERSE LENGTH=285

>AT1G65845 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; Has 9 Blast hits to 9 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 9; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:24493332-24493782 REVERSE LENGTH=104

>AT1G21010 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: cellular_component unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G76600.1); Has 206 Blast hits to 206 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 206; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:7346239-7346871 FORWARD LENGTH=210

>AT1G43800 | Symbols:  | Plant stearoyl-acyl-carrier-protein desaturase family protein | chr1:16577662-16579549 FORWARD LENGTH=391

>AT1G73610 | Symbols:  | GDSL-like Lipase/Acylhydrolase superfamily protein | chr1:27678377-27679807 FORWARD LENGTH=344

>AT1G51090 | Symbols:  | Heavy metal transport/detoxification superfamily protein  | chr1:18932985-18933747 FORWARD LENGTH=171

>AT1G43790 | Symbols: TED6 | tracheary element differentiation-related 6 | chr1:16575952-16576302 FORWARD LENGTH=116

>AT1G54500 | Symbols:  | Rubredoxin-like superfamily protein | chr1:20357084-20357671 REVERSE LENGTH=195

>AT1G31780 | Symbols:  | CONTAINS InterPro DOMAIN/s: Conserved oligomeric complex COG6 (InterPro:IPR010490); Has 384 Blast hits to 379 proteins in 190 species: Archae - 0; Bacteria - 4; Metazoa - 151; Fungi - 156; Plants - 42; Viruses - 0; Other Eukaryotes - 31 (source: NCBI BLink). | chr1:11391341-11394610 FORWARD LENGTH=680

>AT1G65840 | Symbols: ATPAO4, PAO4 | polyamine oxidase 4 | chr1:24490173-24492728 FORWARD LENGTH=497

>AT1G51110 | Symbols:  | Plastid-lipid associated protein PAP / fibrillin family protein | chr1:18935380-18937484 FORWARD LENGTH=409

>AT1G51100 | Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast, chloroplast stroma; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 26 Blast hits to 26 proteins in 9 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 26; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:18934342-18934977 FORWARD LENGTH=211

>AT1G43810 | Symbols:  | unknown protein; Has 6 Blast hits to 6 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 6; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). | chr1:16580447-16580800 REVERSE LENGTH=117

>AT1G31790 | Symbols:  | Tetratricopeptide repeat (TPR)-like superfamily protein | chr1:11394744-11395973 REVERSE LENGTH=409

>AT1G79170 | Symbols:  | unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G28590.1); Has 12 Blast hits to 12 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 1; Fungi - 0; Plants - 3; Viruses - 0; Other Eukaryotes - 8 (source: NCBI BLink). | chr1:29782273-29782622 FORWARD LENGTH=84

>AT1G65810 | Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:24477043-24480728 REVERSE LENGTH=1050

>AT1G74880 | Symbols: NDH-O | NAD(P)H:plastoquinone dehydrogenase complex subunit O | chr1:28130112-28131020 REVERSE LENGTH=158

>AT1G73590 | Symbols: PIN1, ATPIN1 | Auxin efflux carrier family protein | chr1:27659772-27662876 FORWARD LENGTH=622
